hyhg,course_code,course_title,credit,instructor,time,room,quota,participants,major_quota,second_major,grande_1,grade_2,grade_3,grade_4,exchange_student,max_mileage,min_result,max_result,average
20161,ECO4001-01-00,경제학자양성세미나,3,허현승,"목7,8,9",상본113,12,11,0,N,0,0,0,0,O,18,1,18,10.09
20161,ECO1101-01-00,경제수학(1),3,윤진희,"화8,9,목7",I자A523,56,37,28,Y,44,6,3,3,O,18,1,18,11
20161,ECO1101-02-00,경제수학(1),3,윤진희,"화7,목8,9",I자A523,56,7,28,Y,44,6,3,3,O,18,12,18,13.71
20161,ECO1101-03-00,경제수학(1),3,김태환,"월3,4,수4",상본110,66,81,33,Y,0,39,17,10,O,18,1,18,10.42
20161,ECO1101-04-00,경제수학(1),3,서보윤,"월3,4,수4",I진A217,51,3,25,N,40,5,3,3,O,18,1,11,5.67
20161,ECO1101-05-00,경제수학(1),3,서보윤,"월7,8,수8",I자A521,76,2,28,N,60,8,4,4,O,18,1,13,7
20161,ECO1101-06-00,경제수학(1),3,정필권,"수1,금1,2",상본B103,66,21,33,N,0,39,17,10,O,18,1,18,9
20161,ECO1101-07-00,경제수학(1),3,안수형,"월5,6,수6",상본B103,66,96,33,N,0,39,17,10,O,18,1,18,16.07
20161,ECO1103-01-00,미시경제원론,3,김석호,"월7,8,수8",상별108,71,29,35,Y,0,42,18,11,O,18,1,18,9.55
20161,ECO1103-02-00,미시경제원론,3,한유진,"수7,금7,8",상본B121,100,37,50,Y,0,60,25,15,O,18,1,18,10.51
20161,ECO1103-03-00,미시경제원론,3,이태봉,"월1,2,수2",I자A201,76,7,38,Y,60,8,4,4,O,18,11,18,15.14
20161,ECO1103-04-00,미시경제원론,3,신우진,"화4,목5,6",I진A108,100,10,50,N,80,10,5,5,O,18,1,18,11.7
20161,ECO1103-05-00,미시경제원론,3,이지영,"화1,목2,3",I자A403,76,4,38,N,60,8,4,4,O,18,1,18,5.75
20161,ECO1103-06-00,미시경제원론,3,김용선,"수1,금1,2",상본B109,66,91,33,N,0,39,17,10,O,18,1,18,14.87
20161,ECO1103-07-00,미시경제원론,3,명재일,"월5,6,수6",상본B109,66,72,33,N,0,39,17,10,O,18,1,18,14.26
20161,ECO1103-08-00,미시경제원론,3,한원용,"수3,금3,4",상본B103,66,97,33,N,0,39,17,10,O,18,1,18,15.19
20161,ECO1104-01-00,거시경제원론,3,"김용진,이지영","화2,3,목1",I자A320,56,20,28,Y,44,6,3,3,O,18,1,18,10.55
20161,ECO1104-02-00,거시경제원론,3,"김용진,이지영","월1,2,수2",상본B106,91,57,45,Y,0,54,23,14,O,18,1,18,9.86
20161,ECO1104-03-00,거시경제원론,3,강재택,"수3,금3,4",I진A302,71,12,35,Y,56,7,4,4,O,18,2,18,13.42
20161,ECO1104-04-00,거시경제원론,3,김태진,"화1,목2,3",상본B109,66,24,33,N,0,39,17,10,O,18,1,18,9
20161,ECO1104-05-00,거시경제원론,3,이원형,"월7,8,수8",I자A202,76,3,38,N,60,8,4,4,O,18,5,18,12
20161,ECO1104-06-00,거시경제원론,3,김학렬,"수1,금1,2",상본113,71,63,35,N,0,42,18,11,O,18,1,18,13.94
20161,ECO1104-07-00,거시경제원론,3,유병하,"수3,금3,4",상본113,71,132,35,N,0,42,18,11,O,18,1,18,15.23
20161,ECO1104-08-00,거시경제원론,3,김준일,"월5,6,수6",상본110,66,19,33,N,0,39,17,10,O,18,1,18,11.37
20161,ECO1104-09-00,거시경제원론,3,장선구,"화7,목8,9",상본101,66,126,33,N,0,39,17,10,O,18,1,18,15.38
20161,ECO2101-01-00,거시경제학,3,김철삼,"수3,금3,4",상본110,66,40,33,Y,0,39,17,10,O,18,1,18,9.95
