domain,hyhg,hakno,bb,sbb,rank,mileage,major,double,enrolled_courses,graduation,first_enroll,credits_rate,previous_credits_rate,grade,enrolled,etc
H1,20161,ECO4001,01,00,1,18,N,N,6,Y,Y,0.8968,1.0000,4,O, 
H1,20161,ECO4001,01,00,2,18,N,N,6,N,Y,0.9603,1.0000,4,O, 
H1,20161,ECO4001,01,00,3,18,N,N,6,N,Y,0.8148,0.8421,4,O, 
H1,20161,ECO4001,01,00,4,12,N,N,4,N,Y,0.8650,1.0000,4,O, 
H1,20161,ECO4001,01,00,5,10,N,N,6,N,Y,0.9126,0.8333,4,O, 
H1,20161,ECO4001,01,00,6,8,N,N,6,N,Y,0.7936,0.9444,4,O, 
H1,20161,ECO4001,01,00,7,1,N,N,6,Y,Y,1.0000,0.9444,4,O, 
H1,20161,ECO4001,01,00,8,1,N,N,6,N,Y,0.8730,0.8333,4,O, 
H1,20161,ECO4001,01,00,9,1,N,N,5,Y,Y,1.0000,0.5000,4,O, 
H1,20161,ECO4001,01,00,0,12,N,N,6,N,Y,0.7460,0.8333,4,O,* 
H1,20161,ECO4001,01,00,0,12,N,N,5,N,Y,0.5555,1.0000,3,O,* 
H1,20161,ECO1101,01,00,1,18,Y,Y,6,N,Y,0.2777,0.9444,2,X, 
H1,20161,ECO1101,01,00,2,18,Y,Y,5,N,Y,0.3730,1.0000,2,X, 
H1,20161,ECO1101,01,00,3,18,N,N,6,N,Y,0.5158,1.0000,3,O, 
H1,20161,ECO1101,01,00,4,18,N,N,6,N,Y,0.3412,1.0000,2,X, 
H1,20161,ECO1101,01,00,5,18,N,N,6,N,Y,0.2888,1.0000,2,X, 
H1,20161,ECO1101,01,00,6,18,N,N,6,N,Y,0.2777,0.9444,2,X, 
H1,20161,ECO1101,01,00,7,18,N,N,6,N,Y,0.2777,0.8947,2,X, 
H1,20161,ECO1101,01,00,8,18,N,N,6,N,Y,0.1428,0.4166,2,X, 
H1,20161,ECO1101,01,00,9,18,N,N,4,N,Y,0.3015,1.0000,2,X, 
H1,20161,ECO1101,01,00,10,15,Y,Y,6,N,Y,0.2063,0.6666,2,X, 
H1,20161,ECO1101,01,00,11,15,N,N,6,N,Y,0.2777,0.9444,2,X, 
H1,20161,ECO1101,01,00,12,13,Y,Y,6,N,Y,0.2857,0.8333,2,X, 
H1,20161,ECO1101,01,00,13,10,Y,Y,6,N,Y,0.7063,1.0000,3,X, 
H1,20161,ECO1101,01,00,14,10,N,N,6,N,Y,0.2777,0.9444,2,X, 
H1,20161,ECO1101,01,00,15,10,N,N,6,N,Y,0.2579,0.8055,2,X, 
H1,20161,ECO1101,01,00,16,7,Y,Y,6,N,Y,0.2857,1.0000,2,X, 
H1,20161,ECO1101,01,00,17,7,N,N,6,N,Y,0.2500,0.6111,2,X, 
H1,20161,ECO1101,01,00,18,7,N,N,5,N,Y,0.2698,0.8888,2,X, 
H1,20161,ECO1101,01,00,19,4,Y,Y,6,N,Y,0.3809,0.8888,2,X, 
H1,20161,ECO1101,01,00,20,4,N,N,5,N,Y,0.2857,0.8333,2,X, 
H1,20161,ECO1101,01,00,21,4,N,N,5,N,Y,0.2023,0.8888,2,X, 
H1,20161,ECO1101,01,00,22,3,Y,Y,6,N,Y,0.3293,0.8333,2,X, 
H1,20161,ECO1101,01,00,23,1,Y,Y,6,N,Y,0.2777,0.9444,2,X, 
H1,20161,ECO1101,01,00,24,1,Y,Y,3,N,Y,0.2777,0.9444,2,X, 
H1,20161,ECO1101,01,00,25,1,N,N,6,N,Y,0.3015,1.0000,2,X, 
H1,20161,ECO1101,01,00,26,1,N,N,4,N,Y,0.3015,0.9444,2,X, 
H1,20161,ECO1101,01,00,0,12,Y,Y,5,N,Y,0.4761,1.0000,3,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,Y,Y,0.9047,0.8888,4,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.2777,0.9444,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.2857,1.0000,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.2777,0.9444,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.2619,1.0000,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.2698,1.0000,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,5,N,Y,0.2777,0.9444,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,5,N,Y,0.2777,0.9444,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.3095,0.9444,2,O,* 
H1,20161,ECO1101,01,00,0,12,Y,Y,6,N,Y,0.5396,0.9444,3,O,* 
H1,20161,ECO1101,02,00,1,18,Y,Y,6,N,Y,0.5476,1.0000,3,X, 
H1,20161,ECO1101,02,00,2,18,Y,Y,5,N,N,0.3253,0.9444,2,O, 
