course_code,course_title
OMA1001,규범과비판적판단
OMA1002,논리와분석적판단
YCA1101,기독교와세계문화
YCA1102,기독교와현대사회
YCA1103,성서와기독교
YCA1003,채플(3)
YCA1007,채플(C)
YCC1001,대학기본영어Ⅰ
YCC1002,대학기본영어Ⅱ
YCC1101,대학영어Ⅰ
YCC1102,대학영어Ⅱ
YCC1201,고급대학영어Ⅰ
YCC1202,고급대학영어Ⅱ
YCB1101,글쓰기
YCB1101,글쓰기(특례)
UCJ1104,한국미술사
UCB1107,문학의이해
UCB1110,미학
UCE1105,영화의이해
UCE1107,음악사
UCE1108,디자인과문화
YCD1001,"오래된미래,르네상스"
YCD1101,연극의이해
YCD1104,세계문학감상여행
YCD1201,한국문학과문화읽기
YCD1602,대중음악의이해
ANT1001,문화인류학
PHI1001,서양철학의이해
UCB1101,한국근현대사
UCB1103,서양문화의유산
UCB1105,서양철학사
UCD1102,현대사회와심리학
UCD1107,우리교육의어제와오늘
UCE1102,미술사
YCE1001,신화와철학
YCE1101,역사란무엇인가
YCE1201,동아시아의역사와문화
YCE1254,이데올로기와역사의대화
YCE1255,유럽도시문화공간으로읽는역사
YCE1601,대인관계의심리학
YCE1604,성과성차의심리
YCE1607,스트레스의과학과적응의삶
YCE1999,GREAT BOOKS & DEBATE(책과독서의사회사)
YCE1999,GREAT BOOKS & DEBATE(국어의탄생)
UCB1109,인간언어란무엇인가
YCF1201,한문(1)
YCF1202,한문(2)
YCF1203,한문(3)
YCF1301,중국어(1)
YCF1302,중국어(2)
YCF1303,중국어(3)
YCF1351,일본어(1)
YCF1352,일본어(2)
YCF1353,일본어(3)
YCF1402,ENGLISH COMMUNICATION FOR HUMSOC(HONORS)
YCF1403,ENGLISH COMMUNICATION FOR SCIENG(HONORS)
YCF1405,ENGLISH COMMUNICATION FOR SCIENG(ADV)
YCF1406,ENGLISH COMMUNICATION FOR HUMSOC(INT)
YCF1407,ENGLISH COMMUNICATION FOR SCIENG(INT)
YCF1451,독일어(1)
YCF1452,독일어(2)
YCF1453,독일어(3)
YCF1501,프랑스어(1)
YCF1502,프랑스어(2)
YCF1503,프랑스어(3)
YCF1551,러시아어(1)
YCF1552,러시아어(2)
YCF1601,라틴어(1)
YCF1603,스페인어(1)
YCF1604,스페인어(2)
YCF1605,아랍어(1)
YCF1607,이탈리아어(1)
YCF1651,말하기와토론
YCF1652,수화
UCB1104,철학과윤리
YCG1002,위대한유산Ⅰ:생명과인간
YCG1802,행복의과학
YCG1851,소통능력과성취
YCG1852,불교와동서문화교류
YCG1999,GREAT BOOKS & DEBATE(여성과도시:한국문화를통해본젠더와공간의정치학)
YCG1999,GREAT BOOKS & DEBATE(웃음과자아형성)
YCG1999,GREAT BOOKS & DEBATE(개인의가치와행복의조건)
YCG1999,GREAT BOOKS & DEBATE(SF를통한자아의발견)
EDU2002,미래를위한교육학
SOC1002,사회학의이해
SOC1004,근대사회사상의흐름
UCD1101,현대사회와사회학
UCD1104,현대한국정치사의쟁점
UCD1105,시민사회와자원봉사
YCH1302,진보와보수
YCH1303,대한민국의산업화와민주화
YCH1601,재산거래와법
YCH1602,헌법의이해
YCH1606,범죄와형벌
YCH1999,GREAT BOOKS & DEBATE(서양고대중세정치사상)
YCH1999,GREAT BOOKS & DEBATE(서구와동아시아의근대국가와사회)
ECO1001,경제학입문
UCD1103,현대사회와경제
UCD1106,현대사회의법과권리
UCF1101,정보와사회
UCF1104,세계화시대의국제관계
